mm_lluvia|3d_num_sin|4d_num_sin|5d_num_sin|6d_num_sin|7d_num_sin|8d_num_sin|9d_num_sin|10d_num_sin|11d_num_sin|12d_num_sin|13d_num_sin|14d_num_sin|15d_num_sin|2_dias|3_dias|4_dias|5_dias|6_dias|7_dias|8_dias|9_dias|10_dias|11_dias|12_dias|13_dias|14_dias|15_dias
11.4|0|0|0|1|2|3|3|3|3|3|3|3|3|24.80|49.10|81.40|81.60|81.60|81.60|81.60|81.80|100.10|112.30|132.20|152.40|153.50|161.10
16.8|0|0|0|0|1|2|3|3|3|3|3|3|3|28.20|41.60|65.90|98.20|98.40|98.40|98.40|98.40|98.60|116.90|129.10|149.00|169.20|170.30
2.3|0|0|0|0|0|1|2|3|3|3|3|3|3|19.10|30.50|43.90|68.20|100.50|100.70|100.70|100.70|100.70|100.90|119.20|131.40|151.30|171.50
1.4|0|0|0|0|0|0|1|2|3|3|3|3|3|3.70|20.50|31.90|45.30|69.60|101.90|102.10|102.10|102.10|102.10|102.30|120.60|132.80|152.70
9.1|0|0|0|0|0|0|0|1|2|3|3|3|3|10.50|12.80|29.60|41.00|54.40|78.70|111.00|111.20|111.20|111.20|111.20|111.40|129.70|141.90
15.2|0|0|0|0|0|0|0|0|1|2|3|3|3|24.30|25.70|28.00|44.80|56.20|69.60|93.90|126.20|126.40|126.40|126.40|126.40|126.60|144.90
18.7|0|0|0|0|0|0|0|0|0|1|2|3|3|33.90|43.00|44.40|46.70|63.50|74.90|88.30|112.60|144.90|145.10|145.10|145.10|145.10|145.30
2.1|0|0|0|0|0|0|0|0|0|0|1|2|3|20.80|36.00|45.10|46.50|48.80|65.60|77.00|90.40|114.70|147.00|147.20|147.20|147.20|147.20
37.5|0|0|0|0|0|0|0|0|0|0|0|1|2|39.60|58.30|73.50|82.60|84.00|86.30|103.10|114.50|127.90|152.20|184.50|184.70|184.70|184.70
28.4|0|0|0|0|0|0|0|0|0|0|0|0|1|65.90|68.00|86.70|101.90|111.00|112.40|114.70|131.50|142.90|156.30|180.60|212.90|213.10|213.10
7.5|0|0|0|0|0|0|0|0|0|0|0|0|0|35.90|73.40|75.50|94.20|109.40|118.50|119.90|122.20|139.00|150.40|163.80|188.10|220.40|220.60
1.5|0|0|0|0|0|0|0|0|0|0|0|0|0|9.00|37.40|74.90|77.00|95.70|110.90|120.00|121.40|123.70|140.50|151.90|165.30|189.60|221.90
27.9|0|0|0|0|0|0|0|0|0|0|0|0|0|29.40|36.90|65.30|102.80|104.90|123.60|138.80|147.90|149.30|151.60|168.40|179.80|193.20|217.50
12.6|0|0|0|0|0|0|0|0|0|0|0|0|0|40.50|42.00|49.50|77.90|115.40|117.50|136.20|151.40|160.50|161.90|164.20|181.00|192.40|205.80
0|1|1|1|1|1|1|1|1|1|1|1|1|1|12.60|40.50|42.00|49.50|77.90|115.40|117.50|136.20|151.40|160.50|161.90|164.20|181.00|192.40
0.1|1|1|1|1|1|1|1|1|1|1|1|1|1|0.10|12.70|40.60|42.10|49.60|78.00|115.50|117.60|136.30|151.50|160.60|162.00|164.30|181.10
0|2|2|2|2|2|2|2|2|2|2|2|2|2|0.10|0.10|12.70|40.60|42.10|49.60|78.00|115.50|117.60|136.30|151.50|160.60|162.00|164.30
0|2|3|3|3|3|3|3|3|3|3|3|3|3|0.00|0.10|0.10|12.70|40.60|42.10|49.60|78.00|115.50|117.60|136.30|151.50|160.60|162.00
